type	column	total	realized	potential
LOW	32	15311	1713	1963
LOW	33	15311	1472	2462
LOW	34	15311	1567	2335
LOW	35	15311	1539	2208
LOW	36	15311	1827	1748
LOW	37	15311	1644	2135
LOW	38	15311	1421	2622
LOW	39	15311	1673	2184
LOW	40	15311	1595	2264
LOW	41	15311	1716	1454
LOW	42	15310	1901	1780
LOW	43	15311	1302	2496
LOW	44	15311	1585	2188
LOW	45	15311	1444	2574
LOW	46	15311	1759	2033
LOW	47	15311	1451	2499
LOW	48	15311	1936	1692
LOW	49	15311	1735	2025
LOW	50	15311	1497	2469
LOW	51	15311	1486	2494
LOW	52	15311	1456	2432
LOW	53	15311	1484	2478
LOW	54	15311	1659	2151
LOW	55	15311	1522	2267
LOW	56	15311	1513	2393
LOW	57	15311	1412	2575
LOW	58	15311	2009	1541
LOW	59	15311	1330	2727
LOW	60	15311	1925	1825
LOW	61	15311	1698	2192
LOW	62	15311	1763	1866
LOW	63	15311	1615	2297
LOW	64	15311	1481	2481
LOW	65	15311	1519	2223
LOW	66	15311	1585	2092
LOW	67	15311	1726	2120
LOW	68	15311	1711	1515
LOW	69	15311	1385	2681
LOW	70	15311	1437	2539
LOW	71	15311	1696	2013
LOW	72	15311	1349	2741
LOW	73	15311	1679	2204
LOW	74	15311	1470	2433
LOW	75	15311	1400	2658
LOW	76	15311	1564	2356
LOW	77	15311	1760	2043
LOW	78	15311	1505	2185
LOW	79	15311	1552	2390
LOW	80	15311	1684	2116
LOW	81	15311	1834	1769
LOW	82	15311	1600	2202
LOW	83	15311	1805	1758
LOW	84	15311	1386	2525
LOW	85	15311	1730	1960
LOW	86	15311	1660	2160
LOW	87	15311	1391	2559
LOW	88	15311	1546	2543
LOW	89	15311	1666	2128
LOW	90	15311	1502	2528
LOW	91	15311	1401	2628
LOW	92	15311	1910	1766
LOW	93	15311	1374	2528
LOW	94	15311	1608	2157
LOW	95	15311	1605	2190
LOW	96	15311	1604	2178
LOW	97	15311	1745	1966
LOW	98	15311	1775	1993
LOW	99	15311	1699	2101
LOW	100	15311	1883	1653
LOW	101	15311	1386	2706
LOW	102	15311	1753	1704
LOW	103	15311	1872	1798
LOW	104	15311	1734	2041
LOW	105	15311	1503	2313
LOW	106	15311	2055	1344
LOW	107	15311	1713	2148
LOW	108	15311	1404	2667
LOW	109	15311	1559	2344
LOW	110	15311	1451	2560
LOW	111	15311	1462	2567
LOW	112	15311	1855	1902
LOW	113	15311	1884	1802
LOW	114	15311	1547	2357
LOW	115	15311	1492	2412
LOW	116	15311	1559	2356
LOW	117	15311	1377	2724
LOW	118	15311	1308	2732
LOW	119	15311	1435	2656
LOW	120	15311	1948	1715
LOW	121	15311	1726	2109
LOW	122	15311	1415	2628
LOW	123	15311	1710	2141
LOW	124	15311	1713	2124
LOW	125	15311	1408	2475
LOW	126	15311	1998	1468
LOW	127	15311	1422	2518
LOW	128	15311	1543	2397
LOW	129	15311	1499	2432
LOW	130	15311	1441	2617
LOW	131	15311	1845	1534
LOW	132	15311	1894	1764
LOW	133	15311	1451	2346
LOW	134	15311	1545	2297
LOW	135	15311	1341	2572
LOW	136	15311	1486	2626
LOW	137	15311	1366	2522
LOW	138	15311	1559	2356
LOW	139	15311	1418	2344
LOW	140	15311	1334	2562
LOW	141	15311	1906	1818
LOW	142	15311	1422	2464
LOW	143	15311	1815	1824
LOW	144	15311	1408	2684
LOW	145	15311	1897	1721
LOW	146	15311	1441	2464
LOW	147	15311	1742	2059
